subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,11410,2,3079,0,gameplay-adaptive,1079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,14435,2,6104,0,gameplay-adaptive,4104,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,17479,2,9148,0,gameplay-adaptive,7148,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,20414,2,12083,0,gameplay-adaptive,10083,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,23456,2,15125,0,gameplay-adaptive,13125,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,26441,2,18110,0,gameplay-adaptive,16110,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,29411,2,21080,0,gameplay-adaptive,19080,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,32437,2,24106,0,gameplay-adaptive,22106,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,35420,2,27089,0,gameplay-adaptive,25089,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,38451,2,30120,0,gameplay-adaptive,28120,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,41411,2,33080,0,gameplay-adaptive,31080,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,44432,2,36101,0,gameplay-adaptive,34101,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,47489,2,39158,0,gameplay-adaptive,37158,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,50433,2,42102,0,gameplay-adaptive,40102,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,53457,2,45126,0,gameplay-adaptive,43126,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,56421,2,48090,0,gameplay-adaptive,46090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,59446,2,51115,0,gameplay-adaptive,49115,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,62471,2,54140,0,gameplay-adaptive,52140,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,65449,2,57118,0,gameplay-adaptive,55118,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,68474,2,60143,0,gameplay-adaptive,58143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,71458,2,63127,0,gameplay-adaptive,61127,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,74475,2,66144,0,gameplay-adaptive,64144,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,77484,2,69153,0,gameplay-adaptive,67153,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,80463,2,72132,0,gameplay-adaptive,70132,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,83463,2,75132,0,gameplay-adaptive,73132,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,86474,2,78143,0,gameplay-adaptive,76143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,89451,2,81120,0,gameplay-adaptive,79120,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,92459,2,84128,0,gameplay-adaptive,82128,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,95448,2,87117,0,gameplay-adaptive,85117,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,98475,2,90144,0,gameplay-adaptive,88144,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,101437,2,93106,0,gameplay-adaptive,91106,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,104461,2,96130,0,gameplay-adaptive,94130,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,107428,2,99097,0,gameplay-adaptive,97097,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,110464,2,102133,0,gameplay-adaptive,100133,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,113460,2,105129,0,gameplay-adaptive,103129,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,116479,2,108148,0,gameplay-adaptive,106148,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,119487,2,111156,0,gameplay-adaptive,109156,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,122468,2,114137,0,gameplay-adaptive,112137,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,125450,2,117119,0,gameplay-adaptive,115119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,128459,2,120128,0,gameplay-adaptive,118128,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,131467,2,123136,0,gameplay-adaptive,121136,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,134475,2,126144,0,gameplay-adaptive,124144,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,137483,2,129152,0,gameplay-adaptive,127152,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,140459,2,132128,0,gameplay-adaptive,130128,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,143467,2,135136,0,gameplay-adaptive,133136,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,146475,2,138144,0,gameplay-adaptive,136144,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,149467,2,141136,0,gameplay-adaptive,139136,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,152443,2,144112,0,gameplay-adaptive,142112,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,155451,2,147120,0,gameplay-adaptive,145120,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,158443,2,150112,0,gameplay-adaptive,148112,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,161483,2,153152,0,gameplay-adaptive,151152,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,164459,2,156128,0,gameplay-adaptive,154128,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,167451,2,159120,0,gameplay-adaptive,157120,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,170482,2,162151,0,gameplay-adaptive,160151,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,173506,2,165175,0,gameplay-adaptive,163175,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,160
,,176450,2,168119,0,gameplay-adaptive,166119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,179474,2,171143,0,gameplay-adaptive,169143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,182450,2,174119,0,gameplay-adaptive,172119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,185474,2,177143,0,gameplay-adaptive,175143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,188450,2,180119,0,gameplay-adaptive,178119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,191458,2,183127,0,gameplay-adaptive,181127,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,194466,2,186135,0,gameplay-adaptive,184135,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,197490,2,189159,0,gameplay-adaptive,187159,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,200450,2,192119,0,gameplay-adaptive,190119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,203458,2,195127,0,gameplay-adaptive,193127,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,206466,2,198135,0,gameplay-adaptive,196135,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,209490,2,201159,0,gameplay-adaptive,199159,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,212450,2,204119,0,gameplay-adaptive,202119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,215474,2,207143,0,gameplay-adaptive,205143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,218450,2,210119,0,gameplay-adaptive,208119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,221490,2,213159,0,gameplay-adaptive,211159,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,224450,2,216119,0,gameplay-adaptive,214119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,227490,2,219159,0,gameplay-adaptive,217159,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,230482,2,222151,0,gameplay-adaptive,220151,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,233458,2,225127,0,gameplay-adaptive,223127,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,236450,2,228119,0,gameplay-adaptive,226119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,239474,2,231143,0,gameplay-adaptive,229143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,242466,2,234135,0,gameplay-adaptive,232135,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,245458,2,237127,0,gameplay-adaptive,235127,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,248466,2,240135,0,gameplay-adaptive,238135,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,251474,2,243143,0,gameplay-adaptive,241143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,254482,2,246151,0,gameplay-adaptive,244151,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,257490,2,249159,0,gameplay-adaptive,247159,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,260482,2,252151,0,gameplay-adaptive,250151,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,263474,2,255143,0,gameplay-adaptive,253143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,266450,2,258119,0,gameplay-adaptive,256119,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,269474,2,261143,0,gameplay-adaptive,259143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,272466,2,264135,0,gameplay-adaptive,262135,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,275474,2,267143,0,gameplay-adaptive,265143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,278466,2,270135,0,gameplay-adaptive,268135,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,281458,2,273127,0,gameplay-adaptive,271127,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,284434,2,276103,0,gameplay-adaptive,274103,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,96
,,287474,2,279143,0,gameplay-adaptive,277143,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,290454,2,282123,0,gameplay-adaptive,280123,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,293462,2,285131,0,gameplay-adaptive,283131,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,296454,2,288123,0,gameplay-adaptive,286123,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,299478,2,291147,0,gameplay-adaptive,289147,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,144
,,302454,2,294123,0,gameplay-adaptive,292123,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,305462,2,297131,0,gameplay-adaptive,295131,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,128
,,308454,2,300123,0,gameplay-adaptive,298123,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,112
,,,,,,,,,,,,,,Mean RT,121.12
,,,,,,,,,,,,,,SD RT,18.370639728665
